unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
407,texture,waffled,0.039850905801510614,orange-c,30348501.0,3047330.0,226292.0,0.0068222835415349,bed,5899566.0,1837923.0,135788.0,0.017862844118704483,headboard,500152.0,729384.0,21007.0,0.017382288716282356,excavation-s,150528.0,1092574.0,43561.0,0.03631472371515438,waffled,1555456.0,495313.0,78593.0,0.039850905801510614
301,scene,gas_station-s,0.03978895952991947,blue-c,61494563.0,3256545.0,584484.0,0.009108847615233739,boat,1245134.0,3084890.0,100750.0,0.023822055511182296,coach,689166.0,1220660.0,22459.0,0.011899646438662963,gas_station-s,301056.0,1544585.0,70626.0,0.03978895952991947,,24924928.0,187587.0,182527.0,0.007321583949418668
117,scene,roundabout-s,0.0396499549560563,green-c,63326720.0,3235247.0,759916.0,0.01154851541025674,tree,21215516.0,2922472.0,656405.0,0.027954035296513018,roof,443437.0,982773.0,8857.0,0.006248972556589643,roundabout-s,715008.0,1496132.0,84328.0,0.0396499549560563,paisley,1555456.0,236120.0,14629.0,0.008232659724797645
430,object,bedclothes,0.03951236305146522,red-c,21004512.0,3207192.0,155105.0,0.006447503240171231,bedclothes,1008092.0,1664250.0,101577.0,0.03951236305146522,torso,7669375.0,1321436.0,199362.0,0.022676807884570563,crevasse-s,150528.0,451251.0,16665.0,0.028481629220972318,braided,1568000.0,86731.0,4584.0,0.0027779343294870094
366,scene,airport_terminal-s,0.039459254561839324,black-c,139916835.0,3356770.0,766035.0,0.005375398654260963,person,14523849.0,2518272.0,598245.0,0.03638102111691915,leg,2786636.0,1419202.0,124335.0,0.03046304265855005,airport_terminal-s,1480192.0,1135865.0,99309.0,0.039459254561839324,,24924928.0,202936.0,186630.0,0.007482789343943448
188,object,bench,0.039447359255082845,brown-c,182265724.0,3104402.0,989635.0,0.0053673520155665495,bench,486371.0,1775718.0,85847.0,0.039447359255082845,footboard,366693.0,579372.0,13032.0,0.013967351637080358,church-indoor-s,301056.0,1268230.0,58022.0,0.03839302729370911,,24924928.0,122731.0,114618.0,0.004597032507988095
371,texture,polka-dotted,0.03935153520382197,red-c,21004512.0,3228619.0,183470.0,0.007628797761432064,bottle,940208.0,1454709.0,53623.0,0.022903146721428406,body,1291612.0,708682.0,51908.0,0.026641538175700297,ball_pit-s,275968.0,542806.0,30439.0,0.0386117576918442,polka-dotted,1705984.0,930538.0,99823.0,0.03935153520382197
424,part,body,0.03931699114289842,blue-c,61494563.0,3222553.0,635813.0,0.009921973652751723,airplane,1293178.0,3016450.0,160151.0,0.03859546636841221,body,1291612.0,1463714.0,104233.0,0.03931699114289842,landing_deck-s,338688.0,815735.0,41533.0,0.0373199507588351,potholed,1580544.0,318461.0,62544.0,0.03405680817616056
209,scene,batters_box-s,0.039203863736464006,white-c,72511065.0,3123894.0,499734.0,0.006651128016186815,person,14523849.0,1863164.0,535418.0,0.033776916455410325,leg,2786636.0,1287573.0,103629.0,0.02609920968724972,batters_box-s,125440.0,558803.0,25813.0,0.039203863736464006,,24924928.0,121923.0,114395.0,0.004588196204978763
285,texture,spiralled,0.03895695867907308,green-c,63326720.0,3071324.0,302119.0,0.004570917193457842,grandstand,516123.0,1452385.0,58202.0,0.030467370149075593,wheel,1513439.0,544743.0,16267.0,0.00796654121253823,amphitheater-s,275968.0,819469.0,36931.0,0.034889740823386924,spiralled,1605632.0,375181.0,74273.0,0.03895695867907308
460,scene,highway-s,0.03859825616733934,blue-c,61494563.0,3139494.0,446417.0,0.006954874801441524,mountain,5469345.0,2745911.0,260719.0,0.03277613769349492,column,193649.0,845639.0,16225.0,0.015859238385123885,highway-s,4076800.0,1640565.0,212479.0,0.03859825616733934,honeycombed,1555456.0,454543.0,23268.0,0.011711701282156466
432,part,screen,0.03846202005429284,blue-c,61494563.0,3136719.0,683965.0,0.010695757571814936,tvmonitor,1019561.0,1790198.0,70236.0,0.025638039906947303,screen,677188.0,981510.0,61434.0,0.03846202005429284,operating_room-s,213248.0,913446.0,39756.0,0.036576143257481104,polka-dotted,1705984.0,204360.0,25886.0,0.01373657571566997
237,scene,field-wild-s,0.038339552336773476,blue-c,61494563.0,3055260.0,498535.0,0.007783371975283307,mountain,5469345.0,2524789.0,181619.0,0.023247187365400258,hair,989801.0,788247.0,41713.0,0.024023589917844194,field-wild-s,602112.0,1375279.0,73013.0,0.038339552336773476,freckled,1555456.0,251552.0,22999.0,0.012891751106636793
321,texture,flecked,0.03824926019704815,pink-c,18491188.0,3173980.0,105057.0,0.004872748567945685,house,1833277.0,1839395.0,96182.0,0.026892847456584528,roof,443437.0,437576.0,26739.0,0.03130026197683647,cemetery-s,250880.0,1075488.0,43529.0,0.03393177164086842,flecked,1580544.0,1126991.0,99746.0,0.03824926019704815
511,texture,gauzy,0.03824849848589717,grey-c,159331282.0,3113890.0,1063955.0,0.0065928056547002,fence,2236367.0,1956480.0,121009.0,0.029718520235824705,coach,689166.0,784160.0,12873.0,0.008814388412362466,dam-s,150528.0,803496.0,29209.0,0.03158361402010131,gauzy,1630720.0,472379.0,77477.0,0.03824849848589717
392,scene,art_gallery-s,0.038143971332209106,brown-c,182265724.0,2984704.0,1085930.0,0.00589652192356857,airplane,1293178.0,1616931.0,73312.0,0.02584323093968303,body,1291612.0,751850.0,43176.0,0.021584913357389893,art_gallery-s,953344.0,1016638.0,72382.0,0.038143971332209106,pleated,1505280.0,223323.0,12627.0,0.007358494524398943
333,texture,stained,0.038131610703517414,green-c,63326720.0,3152176.0,442427.0,0.006699737382990602,field,1883336.0,2107400.0,76903.0,0.019649024370738354,clouds,116722.0,460384.0,4270.0,0.007454140452066558,highway-s,4076800.0,1231508.0,172700.0,0.033627956027796516,stained,1693440.0,430597.0,78018.0,0.038131610703517414
121,scene,water_tower-s,0.03785480632174581,brown-c,182265724.0,3077575.0,805671.0,0.004365890082861583,water tower,32055.0,1502226.0,18421.0,0.012152177641734725,wing,323329.0,640108.0,6686.0,0.006988234138244955,water_tower-s,275968.0,785635.0,38721.0,0.03785480632174581,smeared,1869056.0,178111.0,10552.0,0.00518114616655578
246,scene,closet-s,0.03777048522650514,grey-c,159331282.0,3084389.0,872039.0,0.005398163884293501,building,35246027.0,2580440.0,1166786.0,0.03182750008108363,column,193649.0,642418.0,11678.0,0.014165642675969717,closet-s,990976.0,1740658.0,99420.0,0.03777048522650514,,24924928.0,226916.0,203829.0,0.008170149007846917
418,scene,bakery-shop-s,0.037726972097892164,yellow-c,34166024.0,3118802.0,284749.0,0.007695902903120985,case,608750.0,907031.0,35539.0,0.02400891205627188,top,381885.0,406116.0,8138.0,0.010435166176623328,bakery-shop-s,715008.0,431947.0,41698.0,0.037726972097892164,waffled,1555456.0,206452.0,29076.0,0.016779468523203635
132,scene,theater-indoor_procenium-s,0.03768716418820817,red-c,21004512.0,2929060.0,217247.0,0.009160230347661369,sofa,4094071.0,1473898.0,134595.0,0.024771900480254076,back pillow,282308.0,812559.0,27279.0,0.025551991966938557,theater-indoor_procenium-s,288512.0,664200.0,34601.0,0.03768716418820817,,24924928.0,72633.0,60776.0,0.0024372027107744643
24,scene,youth_hostel-s,0.03743970351460884,grey-c,159331282.0,3075407.0,800643.0,0.004954288653284667,stove,359571.0,892414.0,38412.0,0.031651989620731506,button panel,31244.0,519729.0,4520.0,0.008271525638984504,youth_hostel-s,614656.0,666304.0,46228.0,0.03743970351460884,,24924928.0,71447.0,71447.0,0.002866487718640551
505,object,person,0.03727382457150483,pink-c,18491188.0,3274155.0,185962.0,0.008617578048230393,person,14523849.0,2770799.0,621473.0,0.03727382457150483,torso,7669375.0,1812802.0,301732.0,0.032866816368923295,creek-s,577024.0,598366.0,42058.0,0.037110043658874894,,24924928.0,332097.0,230967.0,0.00922906036579952
